num,HS_GPA,SAT_Verbal,SAT_Math,EcolEvol,GenChemistry,Calculus1,Physics1,CellBiology,OrgChemistry,Calculus2,Physics2,FinalGPA,Gender
1,4.18,650,630,4,4,4,4,4,4,3.7,4,3.952,MALE
2,4.15,600,770,3,4,4,3,2.7,3,4,3.4,3.352,MALE
3,4.65,460,590,4,3.7,4,4,4,4,3,3.4,3.633,MALE
4,4.12,490,630,3.7,4,3.7,3,3,4,4,3.4,3.737,FEMALE
5,4.54,540,680,3,2.7,3.7,3,3,2,2,3,3.281,FEMALE
6,4.16,640,640,2.7,4,4,3.7,4,3.4,3.4,3,3.52,FEMALE
7,4.2,540,690,2,2,3,2.4,2,2,1.7,2,2.244,FEMALE
8,3.93,620,640,2.4,2,3.7,3,2.4,2.7,2.7,2.7,2.909,MALE
9,4.18,660,720,2.7,2.7,4,2.4,2,0,2,2.4,2.912,MALE
10,4.6,630,800,4,4,4,4,3.4,4,3.7,3.7,3.85,FEMALE
11,4.3,680,670,3.4,3.4,2.4,2.7,3,1.4,0,2.4,3.074,MALE
12,3.8,480,520,2.4,2.4,3.4,2.4,2,1,2.7,2,2.998,FEMALE
13,4.36,610,650,3,2.7,2,3,2.7,2.7,4,3,3.317,FEMALE
14,4.45,610,720,2.7,2.7,3.4,2,0,1.7,2.7,2.7,2.686,MALE
15,4.4,700,740,4,3.4,3.4,3,2.4,2.4,2.4,3,2.721,FEMALE
16,4.72,790,710,3.7,3,3.7,3.7,3,2.4,2,3.4,3.309,FEMALE
17,4.66,720,730,3.4,2.4,2,2.4,2,3,2,2.7,2.935,FEMALE
18,4.25,570,730,1.7,3,2.7,2,0.7,1.7,0,2,2.486,FEMALE
19,4.27,760,690,4,4,3.4,3.7,4,3.4,3.7,3.4,3.83,FEMALE
20,4.54,610,690,3.7,3.4,3.7,3.7,4,2.4,3.4,4,3.625,MALE
21,4.06,650,680,2.4,3,4,3.7,3,2.7,3.7,3.4,3.602,FEMALE
22,4.37,700,690,4,4,4,4,4,4,4,4,3.881,FEMALE
23,3.83,480,520,2,2,2.4,2.4,2,2.4,1,2,2.543,MALE
24,4.06,680,740,3.4,4,3.7,4,4,3,3.7,4,3.585,MALE
25,4.47,670,710,4,3.7,4,4,4,4,4,3.4,3.853,FEMALE
26,4.73,730,720,3.7,4,4,4,4,4,4,3.7,3.934,FEMALE
27,4.38,760,790,2.7,3,3,3,3,2.7,2,3,3.369,FEMALE
28,4.3,660,800,3.7,4,4,4,3,4,3.7,4,3.66,MALE
29,4.2,510,710,2,3,2.4,2.4,2.7,2.4,2,3,2.947,FEMALE
30,3.94,570,680,3,3.4,4,3,2.4,2,3.4,3,3.298,FEMALE
31,4.16,690,790,3.7,4,4,4,3,4,3.7,4,3.469,MALE
32,4.36,720,700,4,4,2,4,3.7,4,3,3.7,3.801,FEMALE
33,4.21,750,740,4,4,4,4,4,2.7,4,4,3.847,FEMALE
34,4.47,800,750,3.7,4,4,3.4,4,2,4,3.7,3.641,MALE
35,4.44,700,730,3,3.4,4,3,3,3.4,3.4,3,3.388,MALE
36,4.18,570,620,4,3.4,2.4,2.4,2.4,3.4,2.4,2.7,3.126,FEMALE
37,4.2,660,670,3.4,3.4,2.7,3,3,3.4,3,3.4,3.369,FEMALE
38,4.91,620,710,3,3.7,3.4,2.7,2.4,3.4,3,3.4,3.287,FEMALE
39,4.5,720,740,3.7,2.7,4,3,2.4,3,4,3,3.522,MALE
40,4.52,620,710,3.4,2,0,3,2.4,2,4,2.7,3.167,MALE
41,4.34,580,730,4,4,4,4,4,4,3.7,4,3.949,MALE
42,3.96,430,690,3.4,1.7,3,2,2.4,4,3.4,2.7,3.272,FEMALE
43,4.14,640,720,4,3.7,2.7,4,3,3.7,3.7,3.4,3.644,FEMALE
44,4.39,640,710,3.7,3.4,4,4,4,4,3.7,3.7,3.873,FEMALE
45,4.13,680,720,4,3.7,3.7,4,4,3.4,4,3.4,3.81,MALE
46,4.39,700,740,3.7,3.7,3.4,3,3,3,3.4,3,3.485,FEMALE
47,4.29,720,710,3.7,4,4,3.4,4,4,4,3.4,3.835,MALE
48,4.23,660,750,2.4,3,3.4,3.4,2.7,3.4,2,3.4,3.186,MALE
49,4.36,650,730,3.7,3.4,4,3.4,4,2.4,2,3.4,3.436,MALE
50,4.18,730,690,3,2.7,3,2,2.4,2,3.4,2.4,3.167,FEMALE
51,4.17,650,730,3,3,4,3.4,3.4,2.7,3,3,3.475,FEMALE
52,4.42,700,740,2.7,3.4,3,3,2.7,1.7,2.4,3,3.035,MALE
53,4.42,700,740,2.7,3.4,3,3,2.7,1.7,2.4,3,3.035,MALE
54,4.29,640,680,3,3,2.7,2.4,1,2.4,2.7,1.7,2.65,MALE
55,4.22,750,770,3.4,3,4,2.7,3.7,2.4,3,3,3.23,FEMALE
56,4.4,650,730,3,2.7,1,2.7,3,1.7,2.7,3.7,2.951,FEMALE
57,4.09,440,690,2.7,3.4,4,3.7,2,3,4,3.4,3.389,FEMALE
58,4.33,560,690,3.7,4,4,4,3.4,3.7,4,4,3.808,FEMALE
59,4.4,580,800,3,3.7,4,4,4,4,3.7,4,3.904,FEMALE
60,4.2,670,740,3.7,3.4,3.7,3.7,3.7,2,3.4,3,3.539,MALE
61,4.25,600,610,2.7,2,2,2.4,1,1.7,1.7,2.4,2.518,FEMALE
62,4.57,630,720,3.4,3.4,3.7,4,3,3.4,4,2.7,3.502,FEMALE
63,4.27,600,710,4,4,3,3,3,3.4,3.4,3.7,3.666,MALE
64,4.62,690,800,3.7,4,4,4,3,2,3,3.7,3.468,MALE
