"","Image1","Image2","Image3","Image4","Image5","Expec1","Expec2","Expec3","PerQual1","PerQual2","PerQual3","PerQual4","PerQual5","PerQual6","PerQual7","PerVal1","PerVal2","Satis1","Satis2","Satis3","Compl","Loyal1","Loyal2","Loyal3"
"ID001",7,5,5,5,4,7,7,6,7,6,4,7,6,5,5,2,3,6,4,7,7,6,5,6
"ID002",10,9,10,10,9,10,10,9,10,9,10,10,9,10,10,10,10,10,10,8,10,10,2,10
"ID003",8,7,6,4,7,7,7,7,7,8,5,7,8,7,7,7,7,8,7,7,6,6,2,7
"ID004",10,10,5,5,10,7,10,5,8,10,10,8,4,5,8,5,5,10,10,10,5,10,4,10
"ID005",10,10,5,8,9,8,7,10,10,9,8,10,9,9,8,6,6,10,8,8,5,10,3,8
"ID006",8,9,10,8,9,10,9,7,9,10,9,10,8,9,9,10,10,8,7,7,8,10,3,10
"ID007",8,7,1,7,7,9,6,2,7,8,9,7,8,7,8,5,7,8,8,8,7,7,6,8
"ID008",8,8,9,7,9,5,6,1,8,6,7,8,7,8,7,5,7,7,6,7,8,5,7,8
"ID009",7,9,6,6,8,7,7,7,7,8,6,7,7,7,8,5,7,7,7,7,8,6,3,7
"ID010",6,7,7,8,8,8,7,3,6,6,8,8,8,7,8,4,6,7,5,5,6,10,4,6
"ID011",7,10,7,7,7,7,6,8,8,8,8,8,8,8,8,7,7,10,6,7,7,10,4,8
"ID012",9,9,5,8,9,10,10,9,7,8,8,8,9,9,8,5,7,8,8,7,7,5,2,5
"ID013",8,9,8,8,7,8,6,9,9,9,7,8,8,9,8,5,6,8,8,7,8,7,3,8
"ID014",10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,7,8,10,8,8,8,10,4,10
"ID015",10,8,4,6,10,5,5,10,8,8,8,9,6,9,7,2,5,8,6,7,7,5,2,10
"ID016",7,9,7,10,9,5,7,9,10,9,9,9,9,9,9,2,7,9,6,7,7,9,4,8
"ID017",8,7,8,10,10,8,8,6,9,8,10,9,10,9,4,5,10,9,8,7,5,10,2,10
"ID018",7,5,2,5,5,5,7,7,7,6,5,8,7,7,7,7,7,8,5,5,5,3,3,3
"ID019",9,9,9,8,9,8,8,10,8,8,9,9,8,9,9,8,7,9,8,9,10,9,5,10
"ID020",7,7,5,6,7,5,7,6,8,7,7,8,8,7,6,7,7,8,8,6,5,8,1,6
"ID021",8,9,7,8,8,4,7,7,7,8,8,8,9,8,8,7,7,8,9,8,7,8,4,9
"ID022",7,6,8,8,8,6,9,9,8,3,10,7,9,8,6,5,5,7,4,5,7,3,6,7
"ID023",7,7,7,7,7,7,5,7,7,7,7,8,7,7,5,5,7,7,7,5,7,7,2,7
"ID024",7,8,8,7,8,7,7,8,8,8,8,8,8,7,7,9,9,8,8,8,9,8,2,9
"ID025",7,8,8,6,6,8,7,7,6,8,5,5,8,6,4,3,5,7,5,2,4,3,2,1
"ID026",10,10,10,10,10,8,10,8,10,10,10,10,10,10,10,8,8,10,8,10,10,10,8,10
"ID027",10,10,7,8,8,8,8,8,8,8,8,8,8,8,7,7,7,8,5,7,5,7,3,7
"ID028",2,8,5,8,1,8,8,10,5,5,5,5,5,5,5,10,10,8,5,7,5,10,10,8
"ID029",7,8,8,7,7,6,7,7,8,7,8,7,7,7,8,7,8,8,7,7,7,9,5,8
"ID030",10,10,8,10,10,7,10,10,10,10,9,10,9,10,9,8,10,10,10,9,8,10,8,10
"ID031",9,9,5,7,8,6,8,7,9,9,8,9,8,9,8,8,9,9,8,8,8,8,3,10
"ID032",7,7,7,7,7,7,7,6,8,7,7,8,8,7,7,5,5,8,5,5,3,5,3,4
"ID033",9,7,7,10,10,5,10,5,5,7,10,5,7,7,10,5,10,7,5,9,7,10,1,10
"ID034",8,8,7,10,8,7,7,10,10,6,10,10,10,10,7,8,7,6,9,10,10,10,3,8
