Team,RushAttsG,RushYardsG,RushFstDownG,Yds_per_RushAtt,RushPlayPerc,RushTDG,PassAttsG,PassYdsG,PassFDG,Yds_per_PassAtt,PassPlayPerc,PassTDG,PlaysGame,Yds_per_Play,FD_per_Play,OffTimePossPerc,PointsGame,TDGame,OffensTDG
Arizona,24.3,101.6,5.2,4.2,0.3917,0.8,34.40,222.90,10.90,6.50,0.6083,1.30,62.10,5.20,0.29,0.4651,19.50,2.30,2.10
Atlanta,27.9,111.6,6.1,4,0.4169,0.8,37.40,257.40,13.20,6.90,0.5831,1.70,66.90,5.50,0.32,0.5294,23.80,2.70,2.50
Baltimore,28.9,122.2,5.9,4.2,0.4457,0.8,33.70,213.60,11.30,6.30,0.5543,1.40,64.90,5.20,0.29,0.5132,23.20,2.50,2.20
Buffalo,24.4,120.1,6.2,4.9,0.3942,0.8,36.10,231.60,11.20,6.40,0.6058,1.50,62.00,5.70,0.32,0.503,23.20,2.70,2.20
Carolina,27.8,150.5,8.7,5.4,0.445,1.6,32.40,239.10,10.90,7.40,0.555,1.30,62.50,6.20,0.35,0.5043,25.40,3.00,2.90
Chicago,28.5,125.9,6.1,4.4,0.4663,0.6,29.60,188.20,9.60,6.40,0.5337,1.10,61.10,5.10,0.28,0.5047,22.10,2.40,1.80
Cincinnati,27.9,109.1,5.9,3.9,0.4389,0.6,33.90,209.60,10.10,6.20,0.5611,1.20,63.50,5.00,0.28,0.5052,20.80,2.10,1.90
Cleveland,25.9,95.7,4.8,3.7,0.4053,0.2,35.60,193.10,10.80,5.40,0.5947,1.00,64.00,4.50,0.27,0.4851,13.60,1.30,1.20
Dallas,25.5,112.9,5.7,4.4,0.4012,0.3,35.60,262.60,13.70,7.40,0.5988,2.10,63.60,5.90,0.32,0.5189,23.10,2.40,2.40
Denver,34.4,161.5,7.9,4.7,0.5424,0.7,26.40,158.80,8.10,6.00,0.4576,1.20,63.50,5.00,0.28,0.4845,19.30,2.20,1.90
Detroit,21.5,91.5,4.3,4.2,0.3294,0.6,41.70,305.50,15.50,7.30,0.6706,2.60,65.40,6.10,0.33,0.4931,29.50,3.60,3.20
Green Bay,24.6,100.3,5.7,4.1,0.394,0.7,35.20,303.80,14.40,8.60,0.606,3.10,62.40,6.50,0.36,0.508,34.10,4.20,3.80
Houston,33.8,153.7,8.1,4.5,0.5223,1.2,29.00,213.40,10.90,7.40,0.4777,1.20,64.80,5.70,0.31,0.5381,23.60,2.60,2.30
Indianapolis,23.9,99.6,4.3,4.2,0.4017,0.5,33.40,187.20,10.60,5.60,0.5983,0.90,59.40,4.80,0.27,0.437,15.20,1.60,1.40
Jacksonville,30.6,123.1,6.4,4,0.488,0.6,29.30,136.20,7.60,4.60,0.512,0.80,62.60,4.10,0.25,0.5005,15.20,1.60,1.30
Kansas City,30.4,118.3,5.6,3.9,0.477,0.3,31.20,192.50,10.20,6.20,0.523,0.80,63.80,4.90,0.27,0.4845,13.20,1.20,1.10
Miami,29.3,124.2,5.5,4.2,0.4737,0.7,29.30,193.20,10.40,6.60,0.5263,1.20,61.90,5.10,0.29,0.5064,20.60,2.10,1.90
Minnesota,28,144.9,7.4,5.2,0.4449,1.1,31.90,184.80,9.90,5.80,0.5551,1.20,62.90,5.20,0.29,0.4786,21.20,2.40,2.40
New England,27.3,109.9,6.8,4,0.406,1.1,38.10,313.20,16.40,8.20,0.594,2.50,67.20,6.30,0.37,0.4707,31.50,3.70,3.50
New Orleans,26.7,129.5,7.2,4.8,0.3764,1.1,42.70,346.70,17.90,8.10,0.6236,2.90,71.00,6.70,0.37,0.5336,34.70,4.20,4.00
NY Giants,26.1,94.7,5.2,3.6,0.398,0.9,37.60,293.90,13.80,7.80,0.602,1.90,65.70,5.90,0.32,0.5054,24.80,2.90,2.90
NY Jets,27.7,105.8,5.8,3.8,0.4301,0.9,34.20,206.10,10.80,6.00,0.5699,1.60,64.40,4.80,0.29,0.5136,23.60,2.80,2.50
Oakland,29.1,131.9,6.9,4.5,0.4591,1,32.80,247.60,11.60,7.60,0.5409,1.20,63.40,6.00,0.32,0.4964,22.40,2.40,2.20
Philadelphia,28.1,142.3,8.4,5.1,0.4334,1.2,34.60,256.90,12.30,7.40,0.5666,1.40,64.80,6.20,0.34,0.5222,24.80,2.90,2.60
Pittsburgh,26.9,121.1,6.2,4.5,0.422,0.8,34.10,252.80,13.60,7.40,0.578,1.30,63.70,5.90,0.33,0.5412,20.50,2.20,2.10
San Diego,27.2,116.5,6.1,4.3,0.416,1,36.40,276.60,14.60,7.60,0.584,1.70,65.50,6.00,0.34,0.53,25.40,2.90,2.70
San Francisco,30.4,129.8,6.3,4.3,0.4902,0.8,28.80,187.30,9.20,6.50,0.5098,1.30,62.10,5.10,0.28,0.5253,24.10,2.30,2.10
Seattle,27.8,109.8,5.6,4,0.4427,0.9,31.80,194.10,9.60,6.10,0.5573,0.90,62.70,4.80,0.26,0.4718,20.10,2.20,1.90
St Louis,25.6,104.2,5,4.1,0.4038,0.4,34.30,179.40,9.90,5.20,0.5962,0.60,63.30,4.50,0.26,0.4677,12.10,1.10,1.00
Tampa Bay,21.6,91.1,4.6,4.2,0.3582,0.6,36.80,228.10,11.20,6.20,0.6418,1.10,60.40,5.30,0.29,0.4836,17.90,1.90,1.60
Tennessee,23.5,89.9,4.4,3.8,0.3821,0.5,36.50,245.20,11.60,6.70,0.6179,1.40,61.50,5.40,0.29,0.4651,20.30,2.10,1.90
Washington,25,100.9,4.9,4,0.388,0.5,36.90,235.80,12.80,6.40,0.612,1.20,64.40,5.20,0.30,0.5014,18.00,1.80,1.70
