"","pe1","pe2","pe3","pe4","ee1","ee2","ee3","ee4","sn1","sn2","sn3","fc1","fc2","fc3","bi1","bi2","bi3","use1","use2","use3","use4"
"1",7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,6,5,9
"2",7,7,7,7,7,7,7,7,4,2,5,7,6,4,7,7,6,5,6,3,5
"3",7,7,7,7,7,6,7,7,7,7,7,7,5,5,7,7,6,6,6,5,6
"4",7,6,6,7,6,7,6,6,7,7,7,7,7,7,7,7,7,6,6,5,1
"5",7,7,7,7,7,6,6,7,7,7,7,5,7,7,6,4,7,5,6,3,3
"6",5,6,5,7,6,5,4,4,5,6,5,4,4,4,6,6,6,6,6,3,3
"7",7,7,7,7,5,5,6,6,7,7,7,5,4,5,5,2,5,2,6,1,1
"8",7,7,7,7,6,7,7,7,7,7,7,7,1,7,7,4,7,5,5,2,3
"9",7,6,6,5,7,6,5,5,5,5,6,7,7,7,7,7,5,4,5,4,7
"10",7,7,7,4,6,6,6,5,7,7,7,6,7,5,7,7,7,6,6,3,4
"11",7,7,7,7,7,7,7,7,4,6,7,7,7,5,7,7,7,6,6,3,4
"12",7,7,7,7,5,5,6,6,6,7,7,6,3,5,7,3,7,4,5,3,3
"13",6,7,6,6,6,6,6,6,5,6,6,7,5,7,6,7,5,4,6,2,3
"14",7,7,7,6,4,5,5,6,5,5,5,6,4,6,4,6,4,6,6,4,4
"15",7,7,7,7,6,6,6,6,5,4,5,7,7,4,7,7,7,6,6,4,1
"16",7,7,6,4,5,5,6,5,5,5,5,5,7,7,7,7,6,4,6,1,2
"17",7,7,7,7,4,6,4,4,4,4,4,5,6,6,5,4,7,6,6,1,2
"18",6,7,7,7,5,6,6,5,6,5,6,6,7,4,7,7,7,5,6,4,3
"19",5,5,5,5,7,7,7,7,6,6,6,7,6,6,6,4,7,2,5,3,4
"20",7,7,7,7,5,4,4,5,4,5,5,4,6,5,5,4,4,2,5,1,1
"21",7,7,7,5,7,7,7,7,7,6,6,6,2,6,7,5,4,5,5,3,2
"22",7,7,7,6,6,7,5,6,7,7,7,6,7,7,7,7,6,4,6,3,7
"23",7,7,7,7,7,6,7,7,7,7,7,7,6,6,6,7,7,6,6,1,1
"24",7,7,6,7,7,5,7,6,5,5,7,7,5,5,7,7,7,6,6,5,4
"25",7,7,7,7,4,6,7,7,7,7,7,6,7,7,7,7,6,6,6,5,4
"26",7,7,6,6,5,4,4,5,6,6,6,7,7,7,7,4,5,2,4,1,4
"27",7,7,7,7,6,6,6,6,6,6,7,7,4,6,6,7,7,6,6,4,4
"28",6,5,6,5,7,6,5,4,3,5,6,7,3,3,6,6,5,5,6,5,2
"29",7,7,7,7,6,7,7,6,6,6,7,7,7,6,7,7,5,5,6,3,4
"30",6,6,6,6,7,6,6,6,3,3,3,6,2,3,5,7,4,4,6,5,10
"31",7,4,4,5,6,5,6,6,7,7,7,5,7,7,7,5,5,6,6,3,1
"32",5,4,4,6,2,2,2,2,7,7,7,2,1,4,7,6,5,3,4,3,1
"33",6,7,7,6,6,5,7,7,6,6,6,5,4,4,6,4,6,3,4,3,1
"34",7,6,7,6,7,6,7,7,7,7,7,6,7,7,7,6,5,1,3,3,7
